71.24 75.67 50.21 70.87 59.30 72.24
73.06 87.47 66.26 47.06 77.98 49.01
54.29 77.12 83.92 50.52 60.81 71.31
64.55 66.30 63.68 85.64 57.39 61.78
45.86 70.26 84.82 83.38 67.92 47.43
72.01 59.58 83.66 66.87 51.66 68.35
62.83 76.60 68.42 74.61 61.53 54.61
48.23 65.96 76.86 67.39 62.07 76.42
52.22 70.81 50.59 78.70 72.51 74.81
78.26 45.59 92.51 62.10 47.45 73.91
50.08 56.65 79.71 62.42 87.91 63.30
56.80 72.51 76.08 77.56 53.33 62.38
92.09 60.22 73.16 44.43 70.18 62.91
58.34 70.35 69.80 85.62 51.05 58.01
72.13 80.19 67.47 69.84 46.04 62.36
94.31 55.71 50.85 73.34 52.72 72.23
52.43 83.57 70.65 49.45 76.04 68.77
71.13 80.42 56.19 60.25 62.71 65.44
76.21 72.71 64.63 71.56 65.43 50.40
66.52 75.12 69.73 80.28 54.05 53.92
85.05 77.74 47.54 69.52 50.05 74.31
66.77 47.75 49.76 82.26 80.40 68.88
69.27 83.41 76.68 59.23 47.10 59.75
45.68 59.92 71.73 86.70 87.21 48.51
66.48 66.88 75.31 49.28 84.33 64.31
59.64 74.84 71.25 71.99 65.17 47.13
58.39 60.52 75.84 74.89 57.90 72.12
79.74 70.06 61.46 76.19 68.27 41.80
90.08 61.37 70.13 67.41 53.67 56.64
62.80 67.69 57.55 44.08 71.00 95.64
80.81 56.33 48.06 71.64 70.49 71.78
72.06 49.37 72.65 53.74 82.09 60.62
80.21 50.40 78.79 45.47 67.23 76.29
47.81 74.59 62.78 82.10 68.58 62.59
59.88 84.81 71.38 56.91 76.53 49.98
74.17 70.31 73.58 75.63 59.16 46.41
